country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,10.0,7.58,44.9,1610,1610,56.2,5.82,553
Albania,16.6,28.0,6.55,48.6,9930,9930,76.3,1.65,4090
Algeria,27.3,38.4,4.17,31.4,12900,12900,76.5,2.89,4460
Angola,119.0,62.3,2.85,42.9,5900,5900,60.1,6.16,3530
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,19100,76.8,2.13,12200
Argentina,14.5,18.9,8.1,16.0,18700,18700,75.8,2.37,10300
Armenia,18.1,20.8,4.4,45.3,6700,6700,73.3,1.69,3220
Australia,4.8,19.8,8.73,20.9,41400,41400,82.0,1.93,30800
Austria,4.3,51.3,11.0,47.8,43200,43200,80.5,1.44,30800
Azerbaijan,39.2,54.3,5.88,20.7,16000,16000,69.1,1.92,5840
Bahamas,13.8,35.0,7.89,43.7,22900,22900,73.8,1.86,28000
Bahrain,8.6,69.5,4.97,50.9,41100,41100,76.0,2.16,20700
Bangladesh,49.4,16.0,3.52,21.8,2440,2440,70.4,2.33,758
Barbados,14.2,39.5,7.97,48.7,15300,15300,76.7,1.78,16000
Belarus,5.5,51.4,5.61,64.5,16200,16200,70.4,1.49,6030
Belgium,4.5,76.4,10.7,74.7,41100,41100,80.0,1.86,30800
Belize,18.8,58.2,5.2,57.5,7880,7880,71.4,2.71,4340
Benin,111.0,23.8,4.1,37.2,1820,1820,61.8,5.36,758
Bhutan,42.7,42.5,5.2,70.7,6420,6420,72.1,2.38,2180
Bolivia,46.6,41.2,4.84,34.3,5410,5410,71.6,3.2,1980
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,9720,76.8,1.31,4610
Botswana,52.5,43.6,8.3,51.3,13300,13300,57.1,2.88,6350
Brazil,19.8,10.7,9.01,11.8,14500,14500,74.2,1.8,11200
Brunei,10.5,67.4,2.84,28.0,49400,49400,77.1,1.84,30800
Bulgaria,10.8,50.2,6.87,53.0,15300,15300,73.9,1.57,6840
Burkina Faso,116.0,19.2,6.74,29.6,1430,1430,57.9,5.87,575
Burundi,93.6,8.92,11.6,39.2,764,764,57.7,6.26,231
Cambodia,44.4,54.1,5.68,59.5,2520,2520,66.1,2.88,786
Cameroon,108.0,22.2,5.13,27.0,2660,2660,57.3,5.11,1310
Canada,5.6,29.1,11.3,31.0,40700,40700,81.3,1.63,30800
Cape Verde,26.5,32.7,4.09,61.8,5830,5830,72.5,2.67,3310
Central African Republic,137.0,11.8,3.98,26.5,888,888,52.0,5.21,446
Chad,137.0,36.8,4.53,43.5,1930,1930,56.5,6.59,897
Chile,8.7,37.7,7.96,31.3,19400,19400,79.1,1.88,12900
China,15.7,26.3,5.07,22.6,9530,9530,74.6,1.59,4560
Colombia,18.6,15.9,7.59,17.8,10900,10900,76.4,2.01,6250
Comoros,88.2,16.5,4.51,51.7,1410,1410,65.9,4.75,769
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609,609,57.5,6.54,334
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,5190,60.4,4.95,2740
Costa Rica,10.2,33.2,10.9,35.0,13000,13000,80.4,1.92,8200
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690,2690,56.3,5.27,1220
Croatia,5.5,37.6,7.76,38.1,20100,20100,76.3,1.55,13500
Cyprus,3.6,50.2,5.97,57.5,33900,33900,79.9,1.42,30800
Czech Republic,3.4,66.0,7.88,62.9,28300,28300,77.5,1.51,19800
Denmark,4.1,50.5,11.4,43.6,44000,44000,79.5,1.87,30800
